season,team,off_pass_yds,off_pass_tds,off_pass_int,def_pass_yds_allowed,def_pass_tds_allowed,def_int_made,off_rush_yds,off_rush_tds,off_rush_att,def_rush_yds_allowed,def_rush_tds_allowed,def_total_tackles,def_tfl,def_sacks,def_int_yds,def_pass_breakups,def_forced_fumbles,off_total_yds,def_total_yds_allowed,off_total_tds,def_total_tds_allowed,turnover_margin
2025-26,Carleton,2666,13,14,2925,23,2,789,10,172,1481,14,140.0,0,19.0,12.0-61,2,8,3455,4406,23,37,-4
2025-26,Guelph,2327,11,7,2319,13,9,1618,17,217,1070,12,244.0,0,36.0,20.0-102,9,8,3945,3389,28,25,10
2025-26,Laurier,2542,28,4,2353,8,7,1533,13,222,936,8,194.0,0,25.0,15.0-84,7,24,4075,3289,41,16,27
2025-26,McMaster,1901,14,5,2372,13,7,896,6,191,1321,12,156.0,0,42.0,21.0-135,7,5,2797,3693,20,25,7
2025-26,Ottawa,2535,14,6,1950,11,8,807,4,164,1168,7,194.0,0,28.0,17.0-103,8,7,3342,3118,18,18,9
2025-26,Queen's,2499,19,6,1566,4,13,1493,18,200,1244,10,202.0,0,30.0,15.0-82,13,12,3992,2810,37,14,19
2025-26,Toronto,2446,11,9,2468,11,4,832,5,152,1143,16,282.0,0,25.0,10.0-73,4,13,3278,3611,16,27,8
2025-26,Waterloo,1904,3,11,2104,14,4,969,8,206,1349,14,88.0,0,14.0,7.0-24,4,8,2873,3453,11,28,1
2025-26,Western,1869,12,7,2500,18,8,2159,28,251,1176,9,226.0,0,27.0,13.0-73,8,7,4028,3676,40,27,8
2025-26,Windsor,1662,3,7,1801,7,13,1525,10,209,1077,9,128.0,0,53.0,35.0-165,13,3,3187,2878,13,16,9
2025-26,York,2758,15,3,2751,21,4,870,8,153,1526,16,150.0,0,21.0,7.0-53,4,9,3628,4277,23,37,10
2024-25,Carleton,2372,15,10,2272,12,13,1155,7,203,1185,13,294.0,0,44.0,17.0-117,13,17,3527,3457,22,25,20
2024-25,Guelph,2209,17,7,2067,11,11,1718,13,233,1067,11,286.0,0,45.0,22.0-75,11,25,3927,3134,30,22,29
2024-25,Laurier,2674,20,9,2103,10,4,1395,14,226,1077,11,146.0,0,30.0,15.0-80,4,21,4069,3180,34,21,16
2024-25,McMaster,2518,10,6,1731,10,8,932,11,179,1574,14,179.0,0,35.0,21.0-100,8,12,3450,3305,21,24,14
2024-25,Ottawa,1743,5,6,1410,11,9,1196,13,221,1468,5,222.0,0,26.0,11.0-65,9,27,2939,2878,18,16,30
2024-25,Queen's,1633,12,10,2009,12,11,1236,14,197,1167,10,238.0,0,39.0,19.0-92,11,11,2869,3176,26,22,12
2024-25,Toronto,1509,5,13,2166,16,4,829,3,180,1407,17,170.0,0,33.0,9.0-38,4,18,2338,3573,8,33,9
